date,id_station,counts,PM2_5,RH,TMP,WSP,juliano,dia_semana,date_index,zone,indice,clase
2016-01-01,AJU,21,18.571428571428573,79.19047619047619,8.947619047619044,1.942857142857143,1,4,0,SO,60.638,Regular
2016-01-02,AJU,23,13.391304347826088,87.30434782608695,8.808695652173913,2.034782608695652,2,5,1,SO,52.923,Regular
2016-01-02,HGM,23,26.391304347826086,57.391304347826086,16.500000000000004,1.565217391304348,2,5,1,CE,72.285,Regular
2016-01-02,MER,23,26.434782608695652,64.30434782608695,16.047826086956523,2.0260869565217394,2,5,1,CE,72.35,Regular
2016-01-02,MGH,24,25.291666666666668,61.75,16.599999999999998,1.654166666666667,2,5,1,NO,70.647,Regular
2016-01-02,NEZ,24,20.375,61.125,16.691666666666666,2.3666666666666667,2,5,1,NE,63.324,Regular
2016-01-02,SAG,24,32.708333333333336,62.666666666666664,16.97916666666667,1.3625,2,5,1,NE,81.693,Regular
2016-01-02,TLA,24,30.083333333333332,57.0,16.191666666666666,1.566666666666667,2,5,1,NO,77.784,Regular
2016-01-02,UAX,23,22.08695652173913,65.34782608695652,16.47826086956521,1.7304347826086954,2,5,1,SE,65.874,Regular
2016-01-02,XAL,24,26.083333333333332,56.666666666666664,16.179166666666667,2.133333333333333,2,5,1,NE,71.826,Regular
2016-01-03,AJM,20,24.8,65.65,14.66,2.0949999999999998,3,6,2,SO,69.915,Regular
2016-01-03,AJU,24,16.375,88.20833333333333,9.52083333333333,1.9291666666666671,3,6,2,SO,57.367,Regular
2016-01-03,BJU,22,30.09090909090909,59.59090909090909,17.013636363636365,1.6500000000000001,3,6,2,CE,77.795,Regular
2016-01-03,HGM,24,27.666666666666668,53.833333333333336,17.270833333333332,1.3958333333333333,3,6,2,CE,74.184,Regular
2016-01-03,MER,21,32.42857142857143,60.19047619047619,17.076190476190476,1.7428571428571433,3,6,2,CE,81.277,Regular
2016-01-03,MGH,24,25.375,60.708333333333336,16.708333333333332,1.4375000000000002,3,6,2,NO,70.771,Regular
2016-01-03,NEZ,24,23.5,58.791666666666664,17.491666666666664,2.191666666666667,3,6,2,NE,67.979,Regular
2016-01-03,SAG,23,41.47826086956522,61.78260869565217,17.38695652173913,1.8739130434782612,3,6,2,NE,94.755,Regular
2016-01-03,TLA,24,26.666666666666668,56.541666666666664,16.162499999999998,1.816666666666667,3,6,2,NO,72.695,Regular
2016-01-03,UAX,24,25.958333333333332,60.416666666666664,17.279166666666665,1.5999999999999996,3,6,2,SE,71.64,Regular
2016-01-03,XAL,24,33.583333333333336,56.166666666666664,16.47083333333333,2.0375,3,6,2,NE,82.996,Regular
2016-01-04,AJM,18,25.27777777777778,78.16666666666667,11.672222222222224,1.688888888888889,4,0,3,SO,70.626,Regular
2016-01-04,AJU,21,14.380952380952381,88.42857142857143,9.147619047619045,3.0238095238095237,4,0,3,SO,54.397,Regular
2016-01-04,NEZ,18,23.666666666666668,71.16666666666667,14.488888888888887,2.338888888888888,4,0,3,NE,68.227,Regular
2016-01-04,XAL,21,37.80952380952381,67.0952380952381,13.219047619047618,1.5476190476190477,4,0,3,NE,89.291,Regular
2016-01-05,AJM,23,11.347826086956522,61.43478260869565,12.726086956521739,2.713043478260869,5,1,4,SO,47.283,Buena
2016-01-05,AJU,20,7.95,84.9,8.035,3.085,5,1,4,SO,33.125,Buena
2016-01-05,BJU,24,24.791666666666668,62.541666666666664,14.72083333333333,1.666666666666667,5,1,4,CE,69.902,Regular
2016-01-05,HGM,22,24.636363636363637,56.40909090909091,14.813636363636364,1.2136363636363634,5,1,4,CE,69.671,Regular
2016-01-05,MER,23,26.52173913043478,61.69565217391305,14.765217391304349,1.7565217391304344,5,1,4,CE,72.479,Regular
2016-01-05,MGH,24,22.916666666666668,60.625,14.445833333333333,1.4083333333333339,5,1,4,NO,67.11,Regular
2016-01-05,NEZ,24,18.666666666666668,63.166666666666664,15.25416666666667,2.2375000000000003,5,1,4,NE,60.78,Regular
2016-01-05,SAG,22,34.72727272727273,64.54545454545455,15.1,1.2181818181818178,5,1,4,NE,84.7,Regular
2016-01-05,TLA,23,19.08695652173913,54.82608695652174,13.717391304347826,1.6956521739130435,5,1,4,NO,61.406,Regular
2016-01-05,UAX,24,18.625,64.75,14.875,1.8541666666666667,5,1,4,SE,60.718,Regular
2016-01-05,UIZ,24,23.75,64.41666666666667,14.591666666666667,1.8875,5,1,4,SE,68.351,Regular
2016-01-05,XAL,23,32.608695652173914,54.82608695652174,14.439130434782612,2.1739130434782608,5,1,4,NE,81.545,Regular
2016-01-06,AJU,18,6.222222222222222,82.88888888888889,6.05,2.894444444444445,6,2,5,SO,25.926,Buena
2016-01-06,BJU,24,8.166666666666666,45.416666666666664,14.862499999999999,1.7749999999999992,6,2,5,CE,34.028,Buena
2016-01-06,HGM,24,9.375,41.0,15.329166666666666,1.6458333333333333,6,2,5,CE,39.062,Buena
2016-01-06,MER,24,16.833333333333332,48.0,15.045833333333333,2.0625,6,2,5,CE,58.05,Regular
2016-01-06,MGH,24,8.458333333333334,45.083333333333336,14.995833333333332,2.041666666666666,6,2,5,NO,35.243,Buena
2016-01-06,NEZ,20,10.0,52.3,14.905000000000005,2.4050000000000002,6,2,5,NE,41.667,Buena
2016-01-06,SAG,24,27.875,52.666666666666664,15.758333333333333,1.3499999999999999,6,2,5,NE,74.495,Regular
2016-01-06,TLA,24,13.166666666666666,42.625,14.654166666666669,2.2416666666666667,6,2,5,NO,52.589,Regular
